etf_code,etf_name,sector,total_bars,ret_90d,mdd_90d,trades_90d,free_shares_90d,ret_180d,mdd_180d,trades_180d,free_shares_180d,ret_1y,mdd_1y,trades_1y,free_shares_1y,ret_2y,mdd_2y,trades_2y,free_shares_2y,ret_3y,mdd_3y,trades_3y,free_shares_3y,ret_5y,mdd_5y,trades_5y,free_shares_5y
588190,科创100ETF银华,核心宽基,724,18.33,12.57,144,1500,25.3,3.58,100,1800,13.77,5.53,122,2000,5.83,3.7,34,1600,14.62,33.11,302,7400,,,,
588120,科创100ETF国泰,核心宽基,724,23.52,11.47,155,3100,22.06,3.66,84,3000,13.08,5.49,124,3700,5.64,3.47,30,3200,14.49,33.21,312,14500,,,,
159518,标普油气ETF嘉实,跨境全球,685,27.91,3.82,66,1100,40.83,11.89,298,4100,9.54,3.65,102,1700,12.43,17.74,296,5100,14.46,24.16,510,8900,,,,
588220,科创100ETF鹏华,核心宽基,724,22.36,12.28,159,1600,23.46,3.76,96,1600,12.43,5.55,116,1800,5.89,3.76,34,1700,14.08,32.77,306,7100,,,,
159652,有色ETF汇添富,周期资源,875,-8.17,16.13,87,600,-3.22,19.63,148,1400,11.54,3.75,84,1700,5.24,4.64,20,1300,13.78,16.96,386,7200,,,,
159681,创业板50ETF鹏华,核心宽基,896,-26.71,13.74,104,1100,14.64,4.66,187,1400,14.93,3.75,228,2500,4.17,2.55,32,1000,13.65,20.61,272,7500,,,,
159540,信创ETF易方达,科技芯片,715,10.54,9.46,159,1400,18.39,7.58,109,1300,15.19,6.21,186,2100,5.53,4.54,24,1100,13.6,23.27,204,6200,,,,
513120,港股创新药ETF广发,跨境全球,1014,27.91,2.56,68,1200,32.67,15.58,268,3600,-14.7,32.15,44,300,4.34,3.48,54,1600,13.59,23.72,426,9400,,,,
159570,港股通创新药ETF汇添富,跨境全球,640,28.83,2.6,68,1100,10.42,17.65,235,2400,-26.28,35.02,46,400,3.77,4.45,34,1100,13.52,14.76,350,7300,,,,
513280,恒生生物科技ETF汇添富,跨境全球,1010,22.56,2.41,56,1000,26.23,17.25,266,3500,-14.46,30.78,54,700,3.8,3.02,32,1500,13.23,26.55,422,10500,,,,
159671,稀有金属ETF工银,周期资源,853,-65.62,23.94,54,400,1.91,18.0,234,2800,15.23,4.86,109,2900,4.62,3.43,26,1500,13.21,23.72,324,8900,,,,
159531,中证2000ETF南方,核心宽基,723,6.97,14.97,120,800,10.48,16.08,232,1600,15.11,7.28,299,2700,3.34,1.61,38,900,12.94,29.21,502,7700,,,,
159665,半导体龙头ETF工银,科技芯片,893,27.54,11.66,196,1500,17.7,7.62,60,800,19.04,8.4,194,2100,6.48,6.03,26,1100,12.63,23.29,146,4500,,,,
159615,恒生生物科技ETF南方,跨境全球,1024,27.21,2.21,74,1300,27.66,16.93,270,3700,-15.55,31.88,56,600,3.81,3.28,32,1400,12.48,26.86,428,9800,,,,
588800,科创100ETF华夏,核心宽基,686,18.46,11.9,143,1300,25.61,3.64,96,1900,11.56,5.6,102,1600,6.12,4.06,30,1600,12.33,34.61,214,5900,,,,
562660,中证2000ETF华夏,核心宽基,725,19.08,13.28,159,1000,22.21,12.97,303,2000,12.45,4.86,224,1700,3.16,1.44,36,700,12.28,25.85,360,5700,,,,
588700,科创医药ETF嘉实,医药健康,651,32.02,2.12,126,2300,21.14,9.68,431,5000,-22.04,25.07,44,300,3.25,2.61,52,1600,11.94,26.63,786,11600,,,,
563300,中证2000ETF华泰柏瑞,核心宽基,725,-5.68,17.02,104,900,4.84,17.01,217,1500,11.33,4.5,234,2100,2.62,1.21,32,800,11.81,26.61,494,7200,,,,
159682,创业板50ETF景顺,核心宽基,896,-26.67,13.66,104,1100,14.97,4.8,189,1500,14.42,3.9,216,2400,3.86,2.22,26,1100,11.8,20.29,246,6500,,,,
